latitude,longitude,ethnicity
33.86293333,-118.1991667,White
35.4162,-97.49,White
38.89263056,-77.05739722,White
42.73107778,-71.20397222,White
34.31235,-118.487275,White
30.27084722,-95.45628333,White
33.33245833,-86.99785278,White
39.89946667,-75.11106667,White
32.79451389,-96.69882778,White
34.05598056,-118.2560111,White
34.31364722,-118.4883417,White
34.05308611,-118.2139611,White
34.21618056,-118.4734111,White
32.91252222,-96.93971667,White
40.91726944,-74.80825,White
34.036175,-118.0248556,White
32.74470278,-97.31943889,White
33.91464444,-118.286275,White
34.17256111,-118.158775,White
29.71379444,-95.50293889,White
32.78210833,-96.77010278,White
33.85803056,-117.9816611,White
37.85867222,-121.2816889,White
