consecutive_number,latitude,longitude
480593,28.71163056,-98.28151944
350161,34.98526944,-107.18260556
280583,31.25373056,-90.47923056
190205,41.4973,-95.00545833
10204,31.14328611,-87.40973889
50337,35.66625556,-94.16720833
460066,43.60861111,-96.49377222
61316,35.02898056,-116.48146944
80069,39.6875,-106.75222222
131052,32.74804444,-85.01845556
320076,36.79574722,-114.11836944
200242,38.75551944,-94.97176111
560035,44.64981944,-106.86938611
170792,40.85821667,-90.00420833
61260,34.35277222,-117.44126111
60689,34.98669167,-116.59266667
40441,35.16416111,-111.31233889
40440,35.15637222,-111.25859444
160146,43.02192222,-112.40798333
260370,43.88083611,-84.02108056
280106,33.72007222,-89.8292
370536,34.81193333,-78.98610556
360823,41.07934167,-73.718275
40639,32.66245278,-114.13908889
260477,42.50530556,-84.85167778
540067,38.62088056,-80.89427778
530257,47.06518889,-120.69635278
160192,43.21937778,-112.34548333
410069,45.09583056,-117.95309444
230085,45.49688889,-68.5617
350174,36.37885278,-104.5998
260115,42.10642778,-84.99628056
300037,46.64575278,-113.11511944
482767,31.01215556,-103.79514167
482779,30.96838056,-103.49444722
481309,31.21186389,-105.46954722
62588,32.74751111,-115.93121111
210148,38.10055833,-83.84714444
160098,43.49188889,-116.12606944
350100,35.00732778,-105.65052778
62504,34.478675,-118.61410556
40226,34.18770556,-112.13277222
210215,37.88078333,-84.33497778
200312,39.05868889,-96.00436667
40672,34.52945278,-111.949925
470464,36.03111944,-83.89391944
131076,33.90262222,-84.27484167
120471,26.49116111,-81.79421944
481119,32.47759722,-99.78713611
490245,38.97348889,-110.10776667
10481,31.34900833,-87.08675556
350243,35.55501389,-105.73092778
350247,34.39144167,-106.85710278
90159,41.76813333,-72.65756944
320104,36.58829444,-114.64881111
160171,47.71216389,-116.89638056
240288,39.70188611,-76.64081944
480124,31.05665,-104.56736944
560057,42.1349,-105.0011
310105,40.67195833,-99.16365833
470337,36.20961111,-84.12856111
380068,46.91346111,-98.04691111
290458,38.09452778,-90.30180556
170756,40.56671389,-89.00279722
371013,34.99492222,-78.83135833
40812,32.33269444,-109.52144722
460078,43.76044167,-96.78149444
410087,45.14546667,-117.97011389
481449,30.89545,-102.34476111
450327,33.26826944,-80.48540833
280414,34.61682778,-89.94973611
40450,34.98384444,-110.55144167
40034,33.60930278,-113.62311944
40158,35.20250833,-111.45415556
40375,32.71273611,-113.82592222
280018,34.75430833,-89.96341944
160065,42.80026389,-112.8168
62396,35.36453889,-115.9175
390777,41.42223333,-81.68406389
290698,39.05985278,-94.48992222
480004,31.85618056,-106.57493889
40776,33.462175,-112.50041111
480587,31.01781667,-97.48173889
190122,42.53706944,-92.42784167
482731,29.72198056,-95.46016667
80114,39.72497222,-104.82509722
460111,44.10056111,-103.18600278
530144,46.40775278,-120.28675278
40428,33.44660833,-112.55001667
122483,25.8471,-80.20785
130689,34.75104444,-85.00234444
121236,26.51259444,-81.79736111
